"","variable","point_estimate","Upper C.I.","converge"
"108","N.ya[31,1]",0.999884021111789,1.00051178103151,"true"
"109","N.ya[32,1]",1.00276649990684,1.01014957559472,"true"
"110","N.ya[33,1]",0.999657098278054,1.00005108135727,"true"
"111","N.ya[34,1]",0.999679872035021,1.00003121104764,"true"
"112","N.ya[35,1]",0.999742761761677,1.00007547852104,"true"
"113","N.ya[36,1]",1.00034118798276,1.00236862149253,"true"
"114","N.ya[37,1]",1.00237094724775,1.00941555034136,"true"
"115","N.ya[1,2]",1.00094255629704,1.00240369736395,"true"
"116","N.ya[2,2]",1.0005681752422,1.00060221576047,"true"
"117","N.ya[3,2]",1.00156267936989,1.00299775834343,"true"
"118","N.ya[4,2]",0.999828497013316,1.00055544574756,"true"
"119","N.ya[5,2]",1.00002994210502,1.00063084816881,"true"
"120","N.ya[6,2]",0.999783567977553,0.999813814022713,"true"
"121","N.ya[7,2]",1.00204712999549,1.00673340181428,"true"
"122","N.ya[8,2]",0.999946748608136,1.0008816051792,"true"
"123","N.ya[9,2]",1.00200563098845,1.00360393619886,"true"
"124","N.ya[10,2]",0.999639834007146,0.99977968403904,"true"
"125","N.ya[11,2]",1.00267834497454,1.00478159529687,"true"
"126","N.ya[12,2]",1.0005724477708,1.0022095675199,"true"
"127","N.ya[13,2]",1.00101013560009,1.00498121620604,"true"
"128","N.ya[14,2]",1.00204730075479,1.00637644270624,"true"
"129","N.ya[15,2]",1.00212425827908,1.00837289896725,"true"
"130","N.ya[16,2]",1.00055863693537,1.00119404849508,"true"
"131","N.ya[17,2]",0.999785158891269,0.999828819047532,"true"
"132","N.ya[18,2]",1.00066676342375,1.00226781115274,"true"
"133","N.ya[19,2]",1.0001875731841,1.0011894359058,"true"
"134","N.ya[20,2]",1.00141564565424,1.00441687100299,"true"
"135","N.ya[21,2]",0.999701384991618,1.00016788708707,"true"
"136","N.ya[22,2]",1.00135052218732,1.00247274469446,"true"
"137","N.ya[23,2]",1.0000399494107,1.00134929406629,"true"
"138","N.ya[24,2]",1.00451536081667,1.01628551176246,"true"
"139","N.ya[25,2]",1.00010635105774,1.00113062394656,"true"
"140","N.ya[26,2]",1.00048364168304,1.00238402779096,"true"
"141","N.ya[27,2]",1.00033189727319,1.00072431309127,"true"
"142","N.ya[28,2]",1.00052770840554,1.00305646538115,"true"
"143","N.ya[29,2]",1.00023390780164,1.00168971302183,"true"
"144","N.ya[30,2]",1.00014764251059,1.00101306664858,"true"
"145","N.ya[31,2]",0.999686892979078,0.999946332308389,"true"
"146","N.ya[32,2]",1.0018282634066,1.00458764028794,"true"
"147","N.ya[33,2]",0.999918085551528,1.00067302704719,"true"
"148","N.ya[34,2]",1.00034395767922,1.00171320357306,"true"
"149","N.ya[35,2]",0.999941212518378,1.00109223107293,"true"
"150","N.ya[36,2]",1.00045382578614,1.00215437969939,"true"
"151","N.ya[37,2]",1.00013433491539,1.00156553900404,"true"
"152","N.ya[1,3]",1.01393082640074,1.01767441720657,"true"
"153","N.ya[2,3]",1.00133950260902,1.00156889050481,"true"
"154","N.ya[3,3]",1.01152232262567,1.01245725850997,"true"
"155","N.ya[4,3]",1.00264068364486,1.00637209273914,"true"
"156","N.ya[5,3]",1.00388942057237,1.01394150732263,"true"
"157","N.ya[6,3]",0.999918909109822,1.00024773709889,"true"
"158","N.ya[7,3]",1.00042592782142,1.00247046854973,"true"
"159","N.ya[8,3]",1.00166486810656,1.00586669606362,"true"
"160","N.ya[9,3]",1.00568111657071,1.00697279040976,"true"
"161","N.ya[10,3]",1.00131097942554,1.00373764129672,"true"
"162","N.ya[11,3]",1.00237506448902,1.00368777452833,"true"
"163","N.ya[12,3]",1.00522542499696,1.00643201210541,"true"
"164","N.ya[13,3]",1.00024038473291,1.00143241310997,"true"
"165","N.ya[14,3]",1.00982150746411,1.01645746652943,"true"
"166","N.ya[15,3]",1.00172286292599,1.00200743157636,"true"
"167","N.ya[16,3]",1.00114431562227,1.00209755005642,"true"
"168","N.ya[17,3]",1.00168783270014,1.00170194228267,"true"
"169","N.ya[18,3]",1.00133567755256,1.00193213012589,"true"
"170","N.ya[19,3]",1.00273247786336,1.00443141661932,"true"
"171","N.ya[20,3]",1.00250146883394,1.00466440751219,"true"
"172","N.ya[21,3]",1.00455151793689,1.00834743178856,"true"
"173","N.ya[22,3]",1.00313802665375,1.00346275929746,"true"
"174","N.ya[23,3]",0.999706167149844,1.00018394481787,"true"
"175","N.ya[24,3]",1.00094748066129,1.00249311950341,"true"
"176","N.ya[25,3]",1.00094527954603,1.00386839166733,"true"
"177","N.ya[26,3]",1.01010693499981,1.01456892368774,"true"
"178","N.ya[27,3]",1.00033141170471,1.00191631682988,"true"
"179","N.ya[28,3]",1.00128964862905,1.0030025858273,"true"
"180","N.ya[29,3]",0.999806277909295,1.00012764104472,"true"
"181","N.ya[30,3]",1.00010495241873,1.00114829771835,"true"
"182","N.ya[31,3]",1.00305236869808,1.0089806978423,"true"
"183","N.ya[32,3]",1.00029790976132,1.0012279828237,"true"
"184","N.ya[33,3]",1.00314404684461,1.00368032420693,"true"
"185","N.ya[34,3]",1.00322560602006,1.00688111055279,"true"
"186","N.ya[35,3]",1.00040540483915,1.00064171334524,"true"
"187","N.ya[36,3]",1.00064315758681,1.00322001203976,"true"
"188","N.ya[37,3]",1.00080096761713,1.00196819772542,"true"
"189","R[1]",1.17848842343049,1.18812002479049,"true"
"190","R[2]",1.00021427741281,1.00122275823211,"true"
"191","R[3]",1.0002358792135,1.00027136725243,"true"
"192","R[4]",1.00051025552016,1.00158191533676,"true"
"193","R[5]",1.00073555642337,1.00151200291315,"true"
"194","R[6]",1.00005008908742,1.00152539423654,"true"
"195","R[7]",1.00036950248401,1.00106828872433,"true"
"196","R[8]",1.00162578362294,1.0058823373015,"true"
"197","R[9]",1.0001973959218,1.00185964699295,"true"
"198","R[10]",1.00112168212561,1.00304475727206,"true"
"199","R[11]",1.00244733374224,1.00696866978662,"true"
"200","R[12]",1.00210203396436,1.00378856829395,"true"
"201","R[13]",0.999788364576621,0.999947003555632,"true"
"202","R[14]",1.00049140736383,1.00199147551122,"true"
"203","R[15]",1.00220806762213,1.00554792184576,"true"
"204","R[16]",1.00165368311151,1.00688597042515,"true"
"205","R[17]",1.00113330788319,1.00251547165053,"true"
"206","R[18]",0.999945445221004,1.00104822537715,"true"
"207","R[19]",1.00037215853813,1.00152083828708,"true"
"208","R[20]",0.999966663552859,1.00053146391733,"true"
"209","R[21]",1.00030383709514,1.00059426332015,"true"
"210","R[22]",1.00020288978116,1.00118284953517,"true"
"211","R[23]",1.00087735814334,1.00173740820892,"true"
"212","R[24]",1.00009268952629,1.00132213287903,"true"
"213","R[25]",1.00348790550519,1.01353106467349,"true"
"214","R[26]",1.00054655453425,1.00332682341846,"true"
"215","R[27]",1.00034887675573,1.00212583089149,"true"
"216","R[28]",0.999899405460955,0.999987144413517,"true"
"217","R[29]",1.00059758585083,1.00352339916574,"true"
"218","R[30]",0.999815243163663,1.00031011228486,"true"
"219","R[31]",1.00025000990615,1.0009698337932,"true"
"220","R[32]",0.999852626175892,1.00012594410476,"true"
"221","R[33]",1.00120138125262,1.00385631747395,"true"
"222","R[34]",1.00188338688742,1.0069085506383,"true"
